,Time,ID,RSSI,PI
1276,1702043934.5001314,dd:03:16:54:f4:d0,-78,163
1277,1702043943.5174024,dd:03:16:54:f4:d0,-76,163
1278,1702043948.5401597,dd:03:16:54:f4:d0,-79,163
1279,1702043988.8023767,dd:03:16:54:f4:d0,-81,133
1280,1702043998.8412037,dd:03:16:54:f4:d0,-82,133
1281,1702044012.9445822,dd:03:16:54:f4:d0,-80,133
1282,1702044028.9949355,dd:03:16:54:f4:d0,-79,133
1283,1702044050.0784495,dd:03:16:54:f4:d0,-79,133
1284,1702044058.1294248,dd:03:16:54:f4:d0,-79,163
1285,1702044061.1411111,dd:03:16:54:f4:d0,-78,163
1286,1702044062.1452148,dd:03:16:54:f4:d0,-75,163
1287,1702044064.1688864,dd:03:16:54:f4:d0,-72,163
1288,1702044067.1839702,dd:03:16:54:f4:d0,-79,163
1289,1702044068.2440455,dd:03:16:54:f4:d0,-76,163
1290,1702044069.202317,dd:03:16:54:f4:d0,-74,163
1291,1702044073.2109892,dd:03:16:54:f4:d0,-80,163
1292,1702044079.254427,dd:03:16:54:f4:d0,-76,163
1293,1702044080.2535818,dd:03:16:54:f4:d0,-78,163
1294,1702044092.3344626,dd:03:16:54:f4:d0,-73,163
1295,1702044094.3737946,dd:03:16:54:f4:d0,-76,163
1296,1702044098.4591038,dd:03:16:54:f4:d0,-75,163
1297,1702044099.3481374,dd:03:16:54:f4:d0,-76,163
1298,1702044100.3635783,dd:03:16:54:f4:d0,-74,163
1299,1702044101.4680862,dd:03:16:54:f4:d0,-74,163
1300,1702044105.3714051,dd:03:16:54:f4:d0,-80,163
1301,1702044106.3895955,dd:03:16:54:f4:d0,-77,163
1302,1702044110.386903,dd:03:16:54:f4:d0,-73,163
1303,1702044112.4025788,dd:03:16:54:f4:d0,-80,163
1304,1702044113.4027858,dd:03:16:54:f4:d0,-77,163
1305,1702044114.4094236,dd:03:16:54:f4:d0,-80,163
1306,1702044118.4727447,dd:03:16:54:f4:d0,-74,163
1307,1702044119.445598,dd:03:16:54:f4:d0,-79,163
1308,1702044121.452367,dd:03:16:54:f4:d0,-77,163
1309,1702044124.514341,dd:03:16:54:f4:d0,-72,163
1310,1702044126.4752743,dd:03:16:54:f4:d0,-75,163
1311,1702044127.4812326,dd:03:16:54:f4:d0,-79,163
1312,1702044130.5069668,dd:03:16:54:f4:d0,-79,163
1313,1702044131.5112257,dd:03:16:54:f4:d0,-80,163
1314,1702044132.5090892,dd:03:16:54:f4:d0,-78,163
1315,1702044134.5309591,dd:03:16:54:f4:d0,-74,163
1316,1702044138.5633209,dd:03:16:54:f4:d0,-77,163
1317,1702044205.8722289,dd:03:16:54:f4:d0,-81,133
1318,1702044252.153972,dd:03:16:54:f4:d0,-78,163
1319,1702044253.1361153,dd:03:16:54:f4:d0,-77,163
1320,1702044254.1369662,dd:03:16:54:f4:d0,-78,163
1321,1702044255.1436925,dd:03:16:54:f4:d0,-74,163
1322,1702044260.165696,dd:03:16:54:f4:d0,-71,163
1323,1702044263.1873171,dd:03:16:54:f4:d0,-81,133
1324,1702044264.180846,dd:03:16:54:f4:d0,-83,133
1325,1702044264.1990614,dd:03:16:54:f4:d0,-77,163
1326,1702044266.1907816,dd:03:16:54:f4:d0,-74,163
1327,1702044269.2233548,dd:03:16:54:f4:d0,-80,163
1328,1702044275.2620072,dd:03:16:54:f4:d0,-74,163
1329,1702044278.2871084,dd:03:16:54:f4:d0,-78,163
1330,1702044282.3042865,dd:03:16:54:f4:d0,-79,163
1331,1702044284.3149855,dd:03:16:54:f4:d0,-74,163
1332,1702044286.3751762,dd:03:16:54:f4:d0,-75,163
1333,1702044288.3259833,dd:03:16:54:f4:d0,-73,163
1334,1702044289.3388608,dd:03:16:54:f4:d0,-77,163
1335,1702044290.4998894,dd:03:16:54:f4:d0,-78,163
1336,1702044294.3623278,dd:03:16:54:f4:d0,-75,163
1337,1702044297.380628,dd:03:16:54:f4:d0,-78,163
1338,1702044299.5166714,dd:03:16:54:f4:d0,-82,163
1339,1702044309.5340383,dd:03:16:54:f4:d0,-72,163
1340,1702044318.4741256,dd:03:16:54:f4:d0,-79,163
1341,1702044319.4664102,dd:03:16:54:f4:d0,-74,163
1342,1702044325.4953969,dd:03:16:54:f4:d0,-74,163
1343,1702044328.5215406,dd:03:16:54:f4:d0,-78,163
1344,1702044336.5412624,dd:03:16:54:f4:d0,-79,163
1345,1702044338.5561967,dd:03:16:54:f4:d0,-75,163
1346,1702044339.582548,dd:03:16:54:f4:d0,-80,163
1347,1702044346.6110177,dd:03:16:54:f4:d0,-79,163
1348,1702044347.6091409,dd:03:16:54:f4:d0,-78,163
1349,1702044377.7462995,dd:03:16:54:f4:d0,-83,133
1350,1702044390.808534,dd:03:16:54:f4:d0,-82,133
1351,1702044447.1149085,dd:03:16:54:f4:d0,-86,133
1352,1702044455.14407,dd:03:16:54:f4:d0,-77,163
1353,1702044458.167833,dd:03:16:54:f4:d0,-78,163
1354,1702044460.18086,dd:03:16:54:f4:d0,-77,163
1355,1702044465.2484307,dd:03:16:54:f4:d0,-77,163
1356,1702044467.2285292,dd:03:16:54:f4:d0,-73,163
1357,1702044470.2423422,dd:03:16:54:f4:d0,-78,163
1358,1702044471.2522967,dd:03:16:54:f4:d0,-73,163
1359,1702044472.252577,dd:03:16:54:f4:d0,-77,163
1360,1702044473.2593162,dd:03:16:54:f4:d0,-74,163
1361,1702044474.2642636,dd:03:16:54:f4:d0,-74,163
1362,1702044476.2711644,dd:03:16:54:f4:d0,-77,163
1363,1702044477.3722663,dd:03:16:54:f4:d0,-74,163
1364,1702044478.3072534,dd:03:16:54:f4:d0,-75,163
1365,1702044481.321282,dd:03:16:54:f4:d0,-80,163
1366,1702044482.3180103,dd:03:16:54:f4:d0,-77,163
1367,1702044484.3138914,dd:03:16:54:f4:d0,-75,163
1368,1702044488.3457208,dd:03:16:54:f4:d0,-72,163
1369,1702044490.342199,dd:03:16:54:f4:d0,-80,163
1370,1702044492.3563051,dd:03:16:54:f4:d0,-73,163
1371,1702044496.3780396,dd:03:16:54:f4:d0,-79,163
1372,1702044500.405948,dd:03:16:54:f4:d0,-74,163
1373,1702044501.4026096,dd:03:16:54:f4:d0,-76,163
1374,1702044502.5064948,dd:03:16:54:f4:d0,-83,163
1375,1702044506.4295502,dd:03:16:54:f4:d0,-76,163
1376,1702044509.445119,dd:03:16:54:f4:d0,-77,163
1377,1702044510.4492753,dd:03:16:54:f4:d0,-72,163
1378,1702044512.4491618,dd:03:16:54:f4:d0,-75,163
1379,1702044519.5114353,dd:03:16:54:f4:d0,-80,163
1380,1702044520.5115695,dd:03:16:54:f4:d0,-76,163
1381,1702044522.5385106,dd:03:16:54:f4:d0,-73,163
1382,1702044523.5337615,dd:03:16:54:f4:d0,-73,163
1383,1702044526.5490196,dd:03:16:54:f4:d0,-78,163
1384,1702044533.576685,dd:03:16:54:f4:d0,-79,163
1385,1702044538.6032484,dd:03:16:54:f4:d0,-78,163
1386,1702044539.6130855,dd:03:16:54:f4:d0,-77,163
1387,1702044575.7703102,dd:03:16:54:f4:d0,-80,133
1388,1702044624.186818,dd:03:16:54:f4:d0,-80,133
1389,1702044639.1347268,dd:03:16:54:f4:d0,-70,163
1390,1702044640.137775,dd:03:16:54:f4:d0,-79,163
1391,1702044641.1536517,dd:03:16:54:f4:d0,-79,163
1392,1702044643.1518006,dd:03:16:54:f4:d0,-74,163
1393,1702044646.1890829,dd:03:16:54:f4:d0,-81,163
1394,1702044647.175243,dd:03:16:54:f4:d0,-78,163
1395,1702044650.1843064,dd:03:16:54:f4:d0,-73,163
1396,1702044651.2268977,dd:03:16:54:f4:d0,-76,163
1397,1702044652.2648196,dd:03:16:54:f4:d0,-78,163
1398,1702044653.2067368,dd:03:16:54:f4:d0,-81,163
1399,1702044654.2099593,dd:03:16:54:f4:d0,-79,163
1400,1702044657.2308002,dd:03:16:54:f4:d0,-76,163
1401,1702044660.2583344,dd:03:16:54:f4:d0,-77,163
1402,1702044662.2420783,dd:03:16:54:f4:d0,-74,163
1403,1702044664.274126,dd:03:16:54:f4:d0,-75,163
1404,1702044674.3110368,dd:03:16:54:f4:d0,-83,163
1405,1702044684.3753033,dd:03:16:54:f4:d0,-80,163
1406,1702044685.3909929,dd:03:16:54:f4:d0,-76,163
1407,1702044691.5998085,dd:03:16:54:f4:d0,-73,163
1408,1702044693.470091,dd:03:16:54:f4:d0,-72,163
1409,1702044699.465015,dd:03:16:54:f4:d0,-74,163
1410,1702044700.5438662,dd:03:16:54:f4:d0,-73,163
1411,1702044702.4849155,dd:03:16:54:f4:d0,-78,163
1412,1702044704.495298,dd:03:16:54:f4:d0,-73,163
1413,1702044707.500927,dd:03:16:54:f4:d0,-70,163
1414,1702044721.5998871,dd:03:16:54:f4:d0,-77,163
1415,1702044772.8659282,dd:03:16:54:f4:d0,-81,133
1416,1702044781.9319606,dd:03:16:54:f4:d0,-80,133
1417,1702044788.9448192,dd:03:16:54:f4:d0,-82,133
1418,1702044794.9807324,dd:03:16:54:f4:d0,-82,133
1419,1702044803.0874822,dd:03:16:54:f4:d0,-80,133
1420,1702044812.0415647,dd:03:16:54:f4:d0,-83,133
1421,1702044830.1616535,dd:03:16:54:f4:d0,-79,163
1422,1702044832.195614,dd:03:16:54:f4:d0,-77,163
1423,1702044833.1863012,dd:03:16:54:f4:d0,-82,163
1424,1702044834.1836588,dd:03:16:54:f4:d0,-81,133
1425,1702044837.286755,dd:03:16:54:f4:d0,-74,163
1426,1702044839.2325838,dd:03:16:54:f4:d0,-78,163
1427,1702044840.2054543,dd:03:16:54:f4:d0,-81,163
1428,1702044841.21201,dd:03:16:54:f4:d0,-77,163
1429,1702044845.2468204,dd:03:16:54:f4:d0,-80,163
1430,1702044847.2585738,dd:03:16:54:f4:d0,-74,163
1431,1702044848.2607453,dd:03:16:54:f4:d0,-72,163
1432,1702044850.2864623,dd:03:16:54:f4:d0,-74,163
1433,1702044852.2990525,dd:03:16:54:f4:d0,-74,163
1434,1702044853.299997,dd:03:16:54:f4:d0,-74,163
1435,1702044854.297723,dd:03:16:54:f4:d0,-80,163
1436,1702044858.3208623,dd:03:16:54:f4:d0,-73,163
1437,1702044859.3230407,dd:03:16:54:f4:d0,-75,163
1438,1702044860.3505738,dd:03:16:54:f4:d0,-73,163
1439,1702044865.3669548,dd:03:16:54:f4:d0,-73,163
1440,1702044866.3659124,dd:03:16:54:f4:d0,-74,163
1441,1702044867.399747,dd:03:16:54:f4:d0,-79,163
1442,1702044869.3782618,dd:03:16:54:f4:d0,-76,163
1443,1702044870.4137175,dd:03:16:54:f4:d0,-80,163
1444,1702044872.4991758,dd:03:16:54:f4:d0,-80,163
1445,1702044873.4293218,dd:03:16:54:f4:d0,-79,163
1446,1702044874.4341145,dd:03:16:54:f4:d0,-78,163
1447,1702044875.6148229,dd:03:16:54:f4:d0,-79,163
1448,1702044879.4397817,dd:03:16:54:f4:d0,-74,163
1449,1702044883.514083,dd:03:16:54:f4:d0,-73,163
1450,1702044884.4544415,dd:03:16:54:f4:d0,-73,163
1451,1702044885.53418,dd:03:16:54:f4:d0,-72,163
1452,1702044886.471203,dd:03:16:54:f4:d0,-73,163
1453,1702044891.534544,dd:03:16:54:f4:d0,-74,163
1454,1702044892.5974665,dd:03:16:54:f4:d0,-71,163
1455,1702044893.4963355,dd:03:16:54:f4:d0,-71,163
1456,1702044895.573927,dd:03:16:54:f4:d0,-80,163
1457,1702044896.510468,dd:03:16:54:f4:d0,-77,163
1458,1702044898.5367105,dd:03:16:54:f4:d0,-77,163
1459,1702044899.5247204,dd:03:16:54:f4:d0,-73,163
1460,1702044902.5456426,dd:03:16:54:f4:d0,-76,163
1461,1702044904.5571952,dd:03:16:54:f4:d0,-77,163
1462,1702044914.6134126,dd:03:16:54:f4:d0,-79,163
1463,1702044915.616012,dd:03:16:54:f4:d0,-76,163
1464,1702044968.867371,dd:03:16:54:f4:d0,-83,133
